Sprint,Start Date,End Date,Total Sprints,Ideal Remaining,Planned Remaining,Actual Remaining (Fill Per Sprint),Planned Closure Event,Phase
1,2026-03-10,2026-03-23,20,19,19,19,SRS traceability and scope lock,Phase I
2,2026-03-24,2026-04-06,20,18,18,,CIS 1.0 inspectdb mapping and integration contracts,Phase I
3,2026-04-07,2026-04-20,20,17,17,,Angular-Django base with RBAC MFA and audit trail,Phase I
4,2026-04-21,2026-04-30,20,16,16,,Phase I closure with eFiling and basic dashboards,Phase I
5,2026-05-02,2026-05-15,20,15,15,,Registry dashboard foundation,Phase II
6,2026-05-16,2026-05-29,20,14,14,,Civil/Criminal/Writ section workflows,Phase II
7,2026-05-30,2026-06-12,20,13,13,,Advocate portfolio by Bar ID,Phase II
8,2026-06-13,2026-06-26,20,12,12,,FSO-advocate communication module,Phase II
9,2026-06-27,2026-07-10,20,11,11,,AI-assisted scrutiny module v1,Phase II
10,2026-07-11,2026-07-24,20,10,10,,Digital Vakalath and My Partners collaboration,Phase II
11,2026-07-25,2026-08-07,20,9,9,,Legacy file tracking system integration,Phase II
12,2026-08-08,2026-08-21,20,8,8,,AI research and translation initial rollout,Phase II
13,2026-08-22,2026-09-04,20,7,7,,Judge digital tools (notes highlight annotations),Phase II
14,2026-09-05,2026-09-18,20,6,6,,Digital signature pipeline for orders and judgments,Phase II
15,2026-09-19,2026-09-30,20,5,5,,Phase II hardening and UAT closure,Phase II
16,2026-10-01,2026-10-14,20,4,4,,Roster analysis and automated listing engine,Phase III
17,2026-10-15,2026-10-28,20,3,3,,Urgent memo auto-listing priority routing,Phase III
18,2026-10-29,2026-11-11,20,2,2,,Courtroom transcription AI stabilization,Phase III
19,2026-11-12,2026-11-25,20,1,1,,Performance DR and CERT-In readiness,Phase III
20,2026-11-26,2026-12-22,20,0,0,,Final UAT handover and program closure,Phase III
